Ano,semana,tempMin,TempMax,Chuva,1,2,3,4
2016,3,18.40,34.20,0.00,71,137,302,565
2016,4,19.30,37.10,19.80,137,302,455,666
2016,5,21.00,35.10,10.20,302,455,565,756
2016,6,21.10,35.60,12.20,455,565,666,854
2016,7,21.90,35.60,20.40,565,666,756,908
2016,8,20.10,32.20,27.60,666,756,854,805
2016,9,17.30,32.10,4.00,756,854,908,664
2016,10,13.30,32.40,21.20,854,908,805,519
2016,11,15.10,34.10,0.20,908,805,664,508
2016,12,15.70,34.50,7.00,805,664,519,453
2016,13,13.70,33.50,0.20,664,519,508,295
2016,14,21.90,34.10,0.00,519,508,453,202
2016,15,20.30,33.50,3.80,508,453,295,128
2016,16,19.60,33.50,1.80,453,295,202,60
2016,17,3.00,32.70,13.40,295,202,128,29
2016,18,4.00,26.90,47.13,202,128,60,11
2016,19,14.20,27.60,20.87,128,60,29,3
2016,20,7.00,27.70,13.24,60,29,11,2
2016,21,5.40,25.65,44.27,29,11,3,2
2016,22,5.40,24.78,22.90,11,3,2,3
2016,23,0.50,20.90,5.06,3,2,2,5
2016,24,-2.10,24.20,13.74,2,2,3,1
2016,25,7.60,24.20,17.31,2,3,5,0
2016,26,11.60,29.80,13.74,3,5,1,4
2016,27,2.90,29.80,2.14,5,1,0,2
2016,28,9.10,31.70,46.04,1,0,4,1
2016,29,0.70,25.50,2.32,0,4,2,1
2016,30,4.20,30.80,7.35,4,2,1,0
2016,31,15.00,31.50,6.92,2,1,1,0
2016,32,5.40,26.80,34.59,1,1,0,0
2016,33,13.30,27.90,29.27,1,0,0,0
2016,34,2.70,32.60,7.76,0,0,0,0
2016,35,9.40,29.60,52.27,0,0,0,0
2016,36,2.50,30.10,22.12,0,0,0,2
2016,37,6.20,34.30,21.95,0,0,0,0
2016,38,7.10,29.40,34.92,0,0,2,0
2016,39,8.80,32.40,54.21,0,2,0,7
2016,40,10.50,30.30,81.40,2,0,0,5
2016,41,10.20,32.90,76.69,0,0,7,12
2016,42,14.50,36.40,45.92,0,7,5,20
2016,43,7.60,34.00,108.37,7,5,12,7
2016,44,8.50,33.10,104.87,5,12,20,10
2016,45,14.80,33.80,16.20,12,20,7,14
2016,46,10.30,32.10,12.20,20,7,10,15
2016,47,12.10,34.30,23.00,7,10,14,15
2016,48,16.50,31.60,70.40,10,14,15,15
2016,49,16.40,30.80,4.40,14,15,15,6
2016,50,12.20,33.00,0.00,15,15,15,6
