Ano,semana,tempMin,TempMax,Chuva,1,2,3,4
2024,3,19.20,35.50,19.00,50,70,75,175
2024,4,16.40,34.90,24.80,70,75,141,216
2024,5,20.00,36.90,0.60,75,141,175,256
2024,6,21.10,38.70,11.80,141,175,216,362
2024,7,19.50,34.20,0.80,175,216,256,427
2024,8,19.50,35.80,2.60,216,256,362,379
2024,9,21.00,35.50,23.67,256,362,427,623
2024,10,19.30,35.60,42.76,362,427,379,623
2024,11,21.70,38.10,58.88,427,379,623,686
2024,12,17.80,35.40,40.73,379,623,623,929
2024,13,20.00,34.60,18.59,623,623,686,1381
2024,14,19.70,35.30,32.58,623,686,929,1398
2024,15,19.90,31.60,20.82,686,929,1381,1265
2024,16,11.50,29.90,32.04,929,1381,1398,1538
2024,17,20.20,32.80,35.80,1381,1398,1265,1910
2024,18,18.80,33.60,47.13,1398,1265,1538,1561
2024,19,12.60,32.20,20.87,1265,1538,1910,938
2024,20,8.90,28.90,13.24,1538,1910,1561,553
